drug,geo_id,source,n_patients,n_responders,n_nonresponders,auc,wilcoxon_p,mean_score_responders,mean_score_nonresponders,mean_diff
tiaprofenic-acid,GSE41998,LINCS,206,201,5,0.4249,0.579589,0.0036,0.0436,-0.0401
tienilic-acid,GSE41998,LINCS,206,201,5,0.4925,0.958908,-0.0051,-0.0058,0.0007
tofacitinib,GSE41998,LINCS,206,201,5,0.793,0.022161,0.0072,-0.1435,0.1507
tolfenamic-acid,GSE41998,LINCS,206,201,5,0.2826,0.098858,-0.0036,0.1011,-0.1047
tosufloxacin,GSE41998,LINCS,206,201,5,0.3294,0.200579,0.0019,0.0764,-0.0745
tracazolate,GSE41998,LINCS,206,201,5,0.4527,0.729017,0.0007,0.0096,-0.0089
tranexamic-acid,GSE41998,LINCS,206,201,5,0.3791,0.369032,-0.0019,0.0457,-0.0476
tremulacin,GSE41998,LINCS,206,201,5,0.2915,0.114489,-0.01,0.196,-0.2059
triacsin-c,GSE41998,LINCS,206,201,5,0.6756,0.187275,0.0051,-0.0754,0.0805
triamcinolone-acetonide,GSE41998,LINCS,206,201,5,0.5542,0.690477,0.0041,-0.0166,0.0206
tubacin,GSE41998,LINCS,206,201,5,0.3164,0.167275,0.0077,0.0587,-0.0509
tubaic-acid,GSE41998,LINCS,206,201,5,0.5413,0.762572,0.0059,-0.0116,0.0175
ursolic-acid,GSE41998,LINCS,206,201,5,0.4189,0.549416,-0.0017,0.0453,-0.047
valaciclovir,GSE41998,LINCS,206,201,5,0.2239,0.032366,-0.0055,0.1378,-0.1434
valproic-acid,GSE41998,LINCS,206,201,5,0.5433,0.751337,0.0046,-0.0077,0.0123
zacopride,GSE41998,LINCS,206,201,5,0.5323,0.813674,0.0093,-0.0064,0.0157
zamifenacin,GSE41998,LINCS,206,201,5,0.407,0.491359,0.005,0.0362,-0.0312
cyclophosphamide,GSE4779,LINCS,102,39,63,0.4912,0.885021,-0.0016,-0.0031,0.0015
17-hydroxyprogesterone-caproate,GSE50948,LINCS,156,53,103,0.5093,0.851589,0.0049,-0.0018,0.0068
3-matida,GSE50948,LINCS,156,53,103,0.4917,0.866282,0.0071,0.0042,0.0029
7-hydroxy-pipat,GSE50948,LINCS,156,53,103,0.3766,0.011794,-0.0265,0.0175,-0.044
at-7519,GSE50948,LINCS,156,53,103,0.5649,0.185301,0.0312,-0.014,0.0452
at-9283,GSE50948,LINCS,156,53,103,0.4911,0.85746,-0.0015,-0.004,0.0025
at-csc-07,GSE50948,LINCS,156,53,103,0.4829,0.727847,-0.0029,0.0046,-0.0075
at-csc-18,GSE50948,LINCS,156,53,103,0.5745,0.128716,0.0184,-0.0034,0.0218
at-sumo-1,GSE50948,LINCS,156,53,103,0.4928,0.883976,-0.0032,-0.0012,-0.002
at1-shh-09,GSE50948,LINCS,156,53,103,0.494,0.90469,-0.0018,-0.0016,-0.0002
at1-shh-29,GSE50948,LINCS,156,53,103,0.4875,0.799152,0.0029,0.0005,0.0024
at7867,GSE50948,LINCS,156,53,103,0.5574,0.241521,0.0171,-0.0129,0.03
atpa,GSE50948,LINCS,156,53,103,0.4776,0.648028,-0.0059,0.0036,-0.0095
l-ascorbyl-6-palmitate,GSE50948,LINCS,156,53,103,0.4589,0.401935,-0.0141,0.0063,-0.0204
m2-pk-activator,GSE50948,LINCS,156,53,103,0.577,0.11605,0.0196,-0.0031,0.0227
nfkb-activation-inhibitor-ii,GSE50948,LINCS,156,53,103,0.405,0.05259,-0.0217,0.0155,-0.0372
pati-1-2-3,GSE50948,LINCS,156,53,103,0.4677,0.510177,-0.0044,0.0063,-0.0107
stat3-inhibitor-vi,GSE50948,LINCS,156,53,103,0.5173,0.725039,0.0033,-0.0037,0.007
abiraterone,GSE50948,LINCS,156,53,103,0.4917,0.866282,-0.0073,0.0045,-0.0118
acamprosate,GSE50948,LINCS,156,53,103,0.5289,0.55689,0.0136,-0.0023,0.0159
adenosine-phosphate,GSE50948,LINCS,156,53,103,0.4684,0.519838,-0.0105,0.0066,-0.0171
afatinib,GSE50948,LINCS,156,53,103,0.5347,0.479438,0.0175,-0.0093,0.0268
alaproclate,GSE50948,LINCS,156,53,103,0.5298,0.544397,0.0086,-0.0027,0.0113
alfadolone-acetate,GSE50948,LINCS,156,53,103,0.566,0.177961,0.0153,-0.0133,0.0286
alrestatin,GSE50948,LINCS,156,53,103,0.4534,0.341896,-0.0084,0.0079,-0.0164
amuvatinib,GSE50948,LINCS,156,53,103,0.5204,0.677891,0.0056,-0.0064,0.012
apoptosis-activator-ii,GSE50948,LINCS,156,53,103,0.4585,0.397746,-0.0116,0.0088,-0.0204
argatroban,GSE50948,LINCS,156,53,103,0.4493,0.301723,-0.0164,0.0054,-0.0218
artesunate,GSE50948,LINCS,156,53,103,0.4794,0.675154,-0.0169,0.0016,-0.0185
asiatic-acid,GSE50948,LINCS,156,53,103,0.5406,0.408268,0.0149,-0.0013,0.0161
asiaticoside,GSE50948,LINCS,156,53,103,0.5453,0.355365,0.0168,-0.0006,0.0174
ataluren,GSE50948,LINCS,156,53,103,0.4462,0.272923,-0.0148,0.0083,-0.023
atenolol,GSE50948,LINCS,156,53,103,0.449,0.298233,-0.0154,0.009,-0.0243
atenolol-(+/-),GSE50948,LINCS,156,53,103,0.5318,0.517414,0.013,-0.0077,0.0207
atomoxetine,GSE50948,LINCS,156,53,103,0.4607,0.423275,-0.0141,0.0065,-0.0205
atorvastatin,GSE50948,LINCS,156,53,103,0.5223,0.65072,0.0053,-0.0102,0.0156
atovaquone,GSE50948,LINCS,156,53,103,0.5442,0.367173,0.0123,-0.0058,0.0181
atractyloside,GSE50948,LINCS,156,53,103,0.4955,0.928443,-0.0009,0.0001,-0.001
atracurium,GSE50948,LINCS,156,53,103,0.5184,0.708268,0.0074,-0.0038,0.0112
atropine,GSE50948,LINCS,156,53,103,0.6084,0.027007,0.0329,-0.0164,0.0493
azathioprine,GSE50948,LINCS,156,53,103,0.5155,0.753283,0.002,-0.0054,0.0074
baccatin-iii,GSE50948,LINCS,156,53,103,0.5014,0.979104,-0.0005,-0.0031,0.0025
batimastat,GSE50948,LINCS,156,53,103,0.4761,0.626657,-0.0073,0.0056,-0.0129
beclomethasone-dipropionate,GSE50948,LINCS,156,53,103,0.4627,0.447499,-0.004,0.0033,-0.0074
belinostat,GSE50948,LINCS,156,53,103,0.5321,0.512583,0.0164,-0.0113,0.0278
benzathine,GSE50948,LINCS,156,53,103,0.3878,0.022021,-0.0263,0.0146,-0.0409
benzatropine,GSE50948,LINCS,156,53,103,0.5358,0.4656,0.0171,-0.0072,0.0243
benzonatate,GSE50948,LINCS,156,53,103,0.4942,0.907655,-0.0043,-0.0017,-0.0025
betamethasone-acetate,GSE50948,LINCS,156,53,103,0.4994,0.991044,-0.0031,0.0006,-0.0037
bezafibrate,GSE50948,LINCS,156,53,103,0.5444,0.365188,0.0143,-0.0031,0.0175
bimatoprost,GSE50948,LINCS,156,53,103,0.647,0.002691,0.0363,-0.0179,0.0542
blebbistatin,GSE50948,LINCS,156,53,103,0.4836,0.739117,-0.0079,0.0005,-0.0084
catechin,GSE50948,LINCS,156,53,103,0.5497,0.310565,0.01,-0.0033,0.0133
catharanthine,GSE50948,LINCS,156,53,103,0.4823,0.719434,-0.0101,0.002,-0.0121
cefatrizine,GSE50948,LINCS,156,53,103,0.412,0.072482,-0.0172,0.0081,-0.0253
cerivastatin,GSE50948,LINCS,156,53,103,0.5422,0.389447,0.0139,-0.0158,0.0297
cetraxate,GSE50948,LINCS,156,53,103,0.5642,0.190317,0.0099,-0.0107,0.0205
chlormadinone-acetate,GSE50948,LINCS,156,53,103,0.5224,0.648028,0.0028,-0.0044,0.0072
chlorphenesin-carbamate,GSE50948,LINCS,156,53,103,0.462,0.4386,-0.0115,0.0054,-0.0169
cilastatin,GSE50948,LINCS,156,53,103,0.4136,0.078001,-0.0244,0.0156,-0.0401
cimaterol,GSE50948,LINCS,156,53,103,0.4722,0.572062,-0.0049,-0.0025,-0.0024
ciprofibrate,GSE50948,LINCS,156,53,103,0.4668,0.498234,-0.0146,0.0052,-0.0199
cisplatin,GSE50948,LINCS,156,53,103,0.4592,0.406151,-0.0092,0.0063,-0.0155
clocortolone-pivalate,GSE50948,LINCS,156,53,103,0.5082,0.869227,-0.004,-0.0005,-0.0036
clofibrate,GSE50948,LINCS,156,53,103,0.4964,0.943322,-0.0047,0.003,-0.0078
cortisone-acetate,GSE50948,LINCS,156,53,103,0.5717,0.143452,0.0159,-0.0104,0.0262
cuneatin,GSE50948,LINCS,156,53,103,0.6069,0.029147,0.0325,-0.0149,0.0474
cyclopentolate,GSE50948,LINCS,156,53,103,0.5496,0.312354,0.0123,-0.0079,0.0202
dacinostat,GSE50948,LINCS,156,53,103,0.4977,0.964185,-0.0014,-0.0008,-0.0006
dasatinib,GSE50948,LINCS,156,53,103,0.5406,0.408268,0.0112,-0.0161,0.0272
dehydrocholate,GSE50948,LINCS,156,53,103,0.4647,0.472491,-0.0063,0.0063,-0.0127
deoxycorticosterone-acetate,GSE50948,LINCS,156,53,103,0.4836,0.739117,-0.0081,0.0012,-0.0093
dephostatin,GSE50948,LINCS,156,53,103,0.4937,0.898764,0.0014,0.0047,-0.0033
desloratadine,GSE50948,LINCS,156,53,103,0.5776,0.113468,0.0281,-0.0167,0.0449
dexamethasone-acetate,GSE50948,LINCS,156,53,103,0.4752,0.613455,-0.0066,0.0053,-0.0119
dimenhydrinate,GSE50948,LINCS,156,53,103,0.4587,0.399837,-0.0168,0.0065,-0.0233
diphenoxylate,GSE50948,LINCS,156,53,103,0.4739,0.595183,-0.008,0.0061,-0.014
docosatrienoic-acid,GSE50948,LINCS,156,53,103,0.4638,0.461037,-0.0076,0.0047,-0.0123
droxinostat,GSE50948,LINCS,156,53,103,0.5888,0.070134,0.023,-0.0151,0.0381
eicosatetraynoic-acid,GSE50948,LINCS,156,53,103,0.5616,0.208661,0.024,-0.0057,0.0297
eicosatrienoic-acid,GSE50948,LINCS,156,53,103,0.4503,0.310565,-0.0121,0.0093,-0.0214
enalaprilat,GSE50948,LINCS,156,53,103,0.5219,0.656119,0.0061,-0.0011,0.0071
entinostat,GSE50948,LINCS,156,53,103,0.5256,0.602984,0.007,-0.0096,0.0166
epibatidine,GSE50948,LINCS,156,53,103,0.4547,0.355365,-0.0135,0.0026,-0.0161
epicatechin-gallate-(-),GSE50948,LINCS,156,53,103,0.4171,0.090778,-0.0195,0.0127,-0.0322
epigallocatechin,GSE50948,LINCS,156,53,103,0.4351,0.185301,-0.0179,0.013,-0.0309
epigallocatechin-gallate-(-),GSE50948,LINCS,156,53,103,0.5598,0.222527,0.0204,-0.0092,0.0296
erbstatin-analog,GSE50948,LINCS,156,53,103,0.5765,0.118679,0.0287,-0.0171,0.0457
erythromycin-estolate,GSE50948,LINCS,156,53,103,0.5164,0.739117,0.0088,-0.0019,0.0106
erythromycin-ethylsuccinate,GSE50948,LINCS,156,53,103,0.5072,0.883976,-0.0007,-0.0018,0.0012
esatenolol,GSE50948,LINCS,156,53,103,0.4618,0.436392,-0.0064,0.0134,-0.0198
estradiol-benzoate,GSE50948,LINCS,156,53,103,0.5745,0.128716,0.0273,-0.007,0.0343
estradiol-cypionate,GSE50948,LINCS,156,53,103,0.5278,0.572062,0.0058,-0.0027,0.0085
estradiol-valerate,GSE50948,LINCS,156,53,103,0.4649,0.474801,-0.006,0.0084,-0.0145
estropipate,GSE50948,LINCS,156,53,103,0.5479,0.328758,0.0173,0.0005,0.0168
etamsylate,GSE50948,LINCS,156,53,103,0.4827,0.725039,-0.0043,0.0028,-0.0072
etazolate,GSE50948,LINCS,156,53,103,0.5028,0.95524,-0.0037,-0.0048,0.0011
etofenamate,GSE50948,LINCS,156,53,103,0.5402,0.412523,0.0063,-0.0097,0.016
etomidate,GSE50948,LINCS,156,53,103,0.5604,0.218299,0.0157,-0.0066,0.0223
etretinate,GSE50948,LINCS,156,53,103,0.5836,0.087957,0.0344,-0.0194,0.0539
eucatropine,GSE50948,LINCS,156,53,103,0.4981,0.970151,0.0027,-0.0015,0.0042
fatostatin,GSE50948,LINCS,156,53,103,0.5085,0.86334,-0.0022,-0.0039,0.0017
febuxostat,GSE50948,LINCS,156,53,103,0.534,0.488787,0.0089,-0.0062,0.0151
felbamate,GSE50948,LINCS,156,53,103,0.56,0.221111,0.0172,-0.0075,0.0247
fenofibrate,GSE50948,LINCS,156,53,103,0.47,0.541916,-0.0036,0.0062,-0.0098
flavoxate,GSE50948,LINCS,156,53,103,0.4197,0.101229,-0.0154,0.0117,-0.0272
fludrocortisone-acetate,GSE50948,LINCS,156,53,103,0.4151,0.08319,-0.023,0.0152,-0.0382
fluoropyruvate,GSE50948,LINCS,156,53,103,0.4526,0.334348,-0.0194,0.0065,-0.0258
fluticasone-propionate,GSE50948,LINCS,156,53,103,0.5435,0.375179,0.0163,-0.007,0.0233
fluvastatin,GSE50948,LINCS,156,53,103,0.5287,0.559405,0.009,-0.0122,0.0212
fostamatinib,GSE50948,LINCS,156,53,103,0.5611,0.212753,0.016,-0.0105,0.0265
gabexate,GSE50948,LINCS,156,53,103,0.4605,0.421112,-0.0043,0.006,-0.0103
gatifloxacin,GSE50948,LINCS,156,53,103,0.4999,1.0,-0.0039,0.0009,-0.0048
givinostat,GSE50948,LINCS,156,53,103,0.5197,0.68888,0.0044,-0.0029,0.0072
glycopyrrolate,GSE50948,LINCS,156,53,103,0.5693,0.157241,0.0199,-0.0107,0.0306
guanaben-acetate,GSE50948,LINCS,156,53,103,0.5682,0.163934,0.0252,-0.0056,0.0308
homatropine,GSE50948,LINCS,156,53,103,0.5728,0.13741,0.0238,-0.0079,0.0316
homosalate,GSE50948,LINCS,156,53,103,0.5591,0.228254,0.0171,-0.0195,0.0367
homoveratrylamine,GSE50948,LINCS,156,53,103,0.503,0.95226,0.0026,0.0024,0.0002
hydrocortisone-acetate,GSE50948,LINCS,156,53,103,0.4691,0.529593,-0.0127,0.0011,-0.0138
hydrocortisone-hemisuccinate,GSE50948,LINCS,156,53,103,0.5069,0.889887,-0.0006,-0.0012,0.0006
hydrocortisone-phosphate,GSE50948,LINCS,156,53,103,0.5391,0.425445,0.0054,-0.0046,0.01
hydrocortisone-valerate,GSE50948,LINCS,156,53,103,0.4389,0.212753,-0.0129,0.007,-0.0199
"hydroxytacrine-maleate-(r,s)",GSE50948,LINCS,156,53,103,0.4428,0.243028,-0.0169,0.0131,-0.03
ilomastat,GSE50948,LINCS,156,53,103,0.5023,0.964185,0.0084,-0.0011,0.0095
imatinib,GSE50948,LINCS,156,53,103,0.4274,0.138403,-0.0199,0.0115,-0.0314
imperatorin,GSE50948,LINCS,156,53,103,0.5589,0.229702,0.0144,-0.0108,0.0252
indatraline,GSE50948,LINCS,156,53,103,0.5977,0.046109,0.0415,-0.025,0.0665
ipratropium,GSE50948,LINCS,156,53,103,0.4274,0.138403,-0.0184,0.0108,-0.0292
isoflupredone-acetate,GSE50948,LINCS,156,53,103,0.3704,0.008158,-0.0413,0.0224,-0.0637
lanatoside-c,GSE50948,LINCS,156,53,103,0.5805,0.100452,0.0265,-0.009,0.0355
lapatinib,GSE50948,LINCS,156,53,103,0.5723,0.140406,0.0208,-0.0116,0.0324
latamoxef,GSE50948,LINCS,156,53,103,0.4257,0.129661,-0.021,0.0094,-0.0305
latanoprost,GSE50948,LINCS,156,53,103,0.5692,0.158342,0.0185,-0.0137,0.0322
latrepirdine,GSE50948,LINCS,156,53,103,0.394,0.030558,-0.0216,0.0128,-0.0344
latrunculin-b,GSE50948,LINCS,156,53,103,0.5618,0.20731,0.0163,-0.014,0.0304
lomatin,GSE50948,LINCS,156,53,103,0.4856,0.770391,-0.0012,-0.0008,-0.0004
loratadine,GSE50948,LINCS,156,53,103,0.575,0.125915,0.0252,-0.0172,0.0425
lovastatin,GSE50948,LINCS,156,53,103,0.5616,0.208661,0.0204,-0.0154,0.0358
meclofenoxate,GSE50948,LINCS,156,53,103,0.4268,0.13544,-0.0185,0.0111,-0.0296
melatonin,GSE50948,LINCS,156,53,103,0.5831,0.090066,0.0276,-0.0083,0.0359
mepenzolate,GSE50948,LINCS,156,53,103,0.4851,0.761823,-0.0147,-0.0002,-0.0145
mepireserpate,GSE50948,LINCS,156,53,103,0.547,0.338109,0.0158,-0.0054,0.0212
methotrexate,GSE50948,LINCS,156,53,103,0.536,0.463315,0.0139,-0.0108,0.0248
"methyl-2,5-dihydroxycinnamate",GSE50948,LINCS,156,53,103,0.4942,0.907655,0.0035,-0.0016,0.0052
methyl-dopate,GSE50948,LINCS,156,53,103,0.477,0.639978,-0.0079,0.0004,-0.0083
methylatropine,GSE50948,LINCS,156,53,103,0.4559,0.369164,-0.0079,0.0025,-0.0104
metrifonate,GSE50948,LINCS,156,53,103,0.4878,0.804938,-0.002,0.0022,-0.0042
mevastatin,GSE50948,LINCS,156,53,103,0.5422,0.389447,0.0162,-0.0146,0.0308
mifobate,GSE50948,LINCS,156,53,103,0.4647,0.472491,-0.0116,0.0057,-0.0173
mocetinostat,GSE50948,LINCS,156,53,103,0.5219,0.656119,0.0081,-0.0059,0.014
mycophenolate-mofetil,GSE50948,LINCS,156,53,103,0.5431,0.379222,0.0067,-0.015,0.0218
nateglinide,GSE50948,LINCS,156,53,103,0.4973,0.958221,-0.0011,-0.0032,0.0021
necrostatin-1,GSE50948,LINCS,156,53,103,0.3968,0.035148,-0.0251,0.0128,-0.0379
neratinib,GSE50948,LINCS,156,53,103,0.5517,0.291335,0.0165,-0.0158,0.0323
nicotinyl-alcohol-tartrate,GSE50948,LINCS,156,53,103,0.4655,0.481766,-0.0172,0.0069,-0.0241
nizatidine,GSE50948,LINCS,156,53,103,0.5376,0.443037,0.0156,-0.0051,0.0208
nomegestrol-acetate,GSE50948,LINCS,156,53,103,0.54,0.414661,0.0152,-0.0092,0.0244
norgestimate,GSE50948,LINCS,156,53,103,0.5624,0.203294,0.0229,-0.0124,0.0354
nystatin,GSE50948,LINCS,156,53,103,0.5241,0.624007,0.0116,-0.0032,0.0148
obatoclax,GSE50948,LINCS,156,53,103,0.5798,0.103589,0.0258,-0.0204,0.0463
ochratoxin-a,GSE50948,LINCS,156,53,103,0.5067,0.892844,0.0077,-0.0007,0.0084
olopatadine,GSE50948,LINCS,156,53,103,0.5409,0.40404,0.0169,-0.0043,0.0212
orlistat,GSE50948,LINCS,156,53,103,0.5514,0.294771,0.019,-0.0098,0.0288
oxotremorine-sesquifumarate,GSE50948,LINCS,156,53,103,0.571,0.147592,0.0232,-0.0112,0.0344
panobinostat,GSE50948,LINCS,156,53,103,0.5263,0.592593,0.0123,-0.0087,0.0211
parthenolide-(alternate-stereo),GSE50948,LINCS,156,53,103,0.4356,0.189054,-0.025,0.0083,-0.0333
pepstatin,GSE50948,LINCS,156,53,103,0.5133,0.787613,0.0077,-0.0013,0.009
pevonedistat,GSE50948,LINCS,156,53,103,0.5219,0.656119,0.0042,-0.006,0.0103
phenethyl-isothiocyanate,GSE50948,LINCS,156,53,103,0.4576,0.387388,-0.0098,0.0085,-0.0183
phenprobamate,GSE50948,LINCS,156,53,103,0.4757,0.621361,-0.0086,0.0071,-0.0157
phenylbutyrate,GSE50948,LINCS,156,53,103,0.6095,0.025491,0.0355,-0.0167,0.0522
phorbol-12-myristate-13-acetate,GSE50948,LINCS,156,53,103,0.5442,0.367173,0.0134,-0.0116,0.025
phthalylsulfathiazole,GSE50948,LINCS,156,53,103,0.5704,0.150757,0.0202,-0.0078,0.028
piceatannol,GSE50948,LINCS,156,53,103,0.4862,0.778989,-0.0062,0.0009,-0.0071
piperidolate,GSE50948,LINCS,156,53,103,0.4933,0.892844,0.0025,-0.0024,0.0049
pitavastatin,GSE50948,LINCS,156,53,103,0.5281,0.566983,0.0074,-0.0144,0.0218
polydatin,GSE50948,LINCS,156,53,103,0.4182,0.095146,-0.0251,0.0119,-0.037
ponalrestat,GSE50948,LINCS,156,53,103,0.5598,0.222527,0.0197,-0.0066,0.0264
ponatinib,GSE50948,LINCS,156,53,103,0.4981,0.970151,-0.0056,0.0007,-0.0063
potassium-canrenoate,GSE50948,LINCS,156,53,103,0.5005,0.994029,0.0055,0.0049,0.0005
pravastatin,GSE50948,LINCS,156,53,103,0.5298,0.544397,0.0051,-0.0037,0.0088
prednicarbate,GSE50948,LINCS,156,53,103,0.4409,0.228254,-0.0176,0.0072,-0.0248
prednisolone-acetate,GSE50948,LINCS,156,53,103,0.4657,0.484101,-0.012,0.0076,-0.0196
prednisolone-hemisuccinate,GSE50948,LINCS,156,53,103,0.4898,0.836947,0.0009,0.0067,-0.0059
pregnenolone-succinate,GSE50948,LINCS,156,53,103,0.4367,0.196727,-0.0121,0.0091,-0.0212
procaterol,GSE50948,LINCS,156,53,103,0.469,0.527145,-0.006,0.0055,-0.0115
prostratin,GSE50948,LINCS,156,53,103,0.5003,0.997014,-0.0005,-0.0041,0.0037
protein-tyrosine-phosphatase-inhibitor-iv,GSE50948,LINCS,156,53,103,0.4376,0.203294,-0.019,0.0104,-0.0294
pyrrolidine-dithiocarbamate,GSE50948,LINCS,156,53,103,0.5038,0.940345,-0.0092,-0.0046,-0.0046
pyrvinium-pamoate,GSE50948,LINCS,156,53,103,0.5605,0.216903,0.0203,-0.0195,0.0399
resveratrol,GSE50948,LINCS,156,53,103,0.4882,0.810736,-0.0007,0.0034,-0.0041
retinyl-acetate,GSE50948,LINCS,156,53,103,0.5268,0.584855,0.0063,0.0018,0.0044
rizatriptan,GSE50948,LINCS,156,53,103,0.512,0.807836,0.0018,-0.0033,0.0051
rosuvastatin,GSE50948,LINCS,156,53,103,0.6294,0.008248,0.0477,-0.027,0.0747
roxatidine-acetate,GSE50948,LINCS,156,53,103,0.6364,0.005371,0.043,-0.0216,0.0646
saracatinib,GSE50948,LINCS,156,53,103,0.5539,0.271289,0.0126,-0.0116,0.0242
simvastatin,GSE50948,LINCS,156,53,103,0.5281,0.566983,0.0085,-0.0122,0.0207
skatole,GSE50948,LINCS,156,53,103,0.5594,0.225377,0.0208,-0.0085,0.0293
somatostatin,GSE50948,LINCS,156,53,103,0.5523,0.286233,0.0145,-0.0028,0.0173
spiroxatrine,GSE50948,LINCS,156,53,103,0.494,0.90469,0.004,0.0019,0.0021
succinylsulfathiazole,GSE50948,LINCS,156,53,103,0.523,0.639978,0.0121,-0.0039,0.0161
sulfathiazole,GSE50948,LINCS,156,53,103,0.5043,0.931417,-0.0028,0.0022,-0.005
sumatriptan,GSE50948,LINCS,156,53,103,0.5129,0.793377,0.0097,0.0023,0.0074
talniflumate,GSE50948,LINCS,156,53,103,0.4162,0.087263,-0.0209,0.0085,-0.0294
tenatoprazole,GSE50948,LINCS,156,53,103,0.4851,0.761823,0.0,-0.0016,0.0016
testosterone-propionate,GSE50948,LINCS,156,53,103,0.5455,0.353421,0.018,-0.003,0.021
tetrahydropalmatine,GSE50948,LINCS,156,53,103,0.4461,0.271289,-0.0198,0.005,-0.0248
tetramethyl-haematoxylone,GSE50948,LINCS,156,53,103,0.6333,0.006522,0.0466,-0.0156,0.0622
tiratricol,GSE50948,LINCS,156,53,103,0.5094,0.848656,0.0007,0.0013,-0.0006
tolnaftate,GSE50948,LINCS,156,53,103,0.551,0.298233,0.0184,-0.0066,0.025
topiramate,GSE50948,LINCS,156,53,103,0.4953,0.92547,-0.0002,0.0001,-0.0003
tosedostat,GSE50948,LINCS,156,53,103,0.5221,0.653417,0.0029,-0.0105,0.0134
tracazolate,GSE50948,LINCS,156,53,103,0.4351,0.185301,-0.012,0.0059,-0.0179
trichostatin-a,GSE50948,LINCS,156,53,103,0.5281,0.566983,0.0088,-0.0072,0.016
"tropanyl-3,5-dimethylbenzoate",GSE50948,LINCS,156,53,103,0.6107,0.023817,0.0237,-0.013,0.0366
tubastatin-a,GSE50948,LINCS,156,53,103,0.5063,0.898764,0.0097,-0.0059,0.0156
vatalanib,GSE50948,LINCS,156,53,103,0.5536,0.274563,0.0147,-0.0078,0.0224
veratridine,GSE50948,LINCS,156,53,103,0.4442,0.255322,-0.0166,0.0066,-0.0231
vigabatrin,GSE50948,LINCS,156,53,103,0.6406,0.004105,0.0374,-0.0179,0.0553
vorinostat,GSE50948,LINCS,156,53,103,0.5453,0.355365,0.0149,-0.0132,0.0282
wiskostatin,GSE50948,LINCS,156,53,103,0.5668,0.173189,0.0123,-0.0097,0.0221
zatebradine,GSE50948,LINCS,156,53,103,0.5397,0.418955,0.0091,-0.0052,0.0144
docetaxel,GSE66999,LINCS,76,70,6,0.3476,0.227533,-0.0126,0.0781,-0.0907
cyclophosphamide,GSE6861,LINCS,161,66,95,0.478,0.636492,-0.0058,-0.0023,-0.0035
tamoxifen,GSE82172,LINCS,152,21,131,0.4951,0.944661,-0.0203,-0.0146,-0.0057
